#-----------------------------------------------------------
# xsim v2022.2 (64-bit)
# SW Build 3671981 on Fri Oct 14 05:00:03 MDT 2022
# IP Build 3669848 on Fri Oct 14 08:30:02 MDT 2022
# Start of session at: Wed Aug 12 23:37:32 2026
# Process ID: 40688
# Current directory: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1
# Command line: xsim.exe -mode tcl -source {xsim.dir/tb_core_logic_snap/xsim_script.tcl}
# Log file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1/xsim.log
# Journal file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1\xsim.jou
# Running On: JH_HP, OS: Windows, CPU Frequency: 1996 MHz, CPU Physical cores: 12, Host memory: 16697 MB
#-----------------------------------------------------------
source xsim.dir/tb_core_logic_snap/xsim_script.tcl
# xsim {tb_core_logic_snap} -autoloadwcfg -tclbatch {run.tcl}
Time resolution is 1 ps
source run.tcl
## log_wave -recursive *
WARNING: [Simtcl 6-197] One or more HDL objects could not be logged because of object type or size limitations.  To see details please rerun the command with -verbose (-v).
## run all
[TB] System Reset...
[TB] Reset Released. Wait for pipeline...
[23425000] SEQ: 213 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23535000] SEQ: 214 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23645000] SEQ: 215 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23755000] SEQ: 216 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23865000] SEQ: 217 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[23975000] SEQ: 218 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24085000] SEQ: 219 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24195000] SEQ: 220 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24305000] SEQ: 221 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24415000] SEQ: 222 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24525000] SEQ: 223 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24635000] SEQ: 224 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24745000] SEQ: 225 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24855000] SEQ: 226 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[24965000] SEQ: 227 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25075000] SEQ: 228 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25185000] SEQ: 229 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25295000] SEQ: 230 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25405000] SEQ: 231 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25515000] SEQ: 232 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25625000] SEQ: 233 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25735000] SEQ: 234 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25845000] SEQ: 235 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[25955000] SEQ: 236 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26065000] SEQ: 237 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26175000] SEQ: 238 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26285000] SEQ: 239 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26395000] SEQ: 240 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26505000] SEQ: 241 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26615000] SEQ: 242 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26725000] SEQ: 243 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26835000] SEQ: 244 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[26945000] SEQ: 245 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27055000] SEQ: 246 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27165000] SEQ: 247 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27275000] SEQ: 248 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27385000] SEQ: 249 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27495000] SEQ: 250 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27605000] SEQ: 251 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27715000] SEQ: 252 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27825000] SEQ: 253 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[27935000] SEQ: 254 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28045000] SEQ: 255 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28155000] SEQ: 256 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28265000] SEQ: 257 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28375000] SEQ: 258 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28485000] SEQ: 259 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28595000] SEQ: 260 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28705000] SEQ: 261 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28815000] SEQ: 262 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[28925000] SEQ: 263 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[29035000] SEQ: 264 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[29145000] SEQ: 265 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[29255000] SEQ: 266 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[29365000] SEQ: 267 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[29475000] SEQ: 268 | Dist_out: 100 | MRM: 0 | TD_remain: 11
